problem,method,energy_policy,failure_stage,failure_time,i,j,pressure,rho,internal_energy,magnetic_energy,kinetic_energy,divB
,,,,0.0799664,,,,,,,,
,,,,0.080632,,,,,,,,
,,,,0.0812782,,,,,,,,
,,,,0.0819091,,,,,,,,
,,,,0.0825285,,,,,,,,
,,,,0.0831533,,,,,,,,
,,,,0.0838078,,,,,,,,
,,,,0.0844781,,,,,,,,
,,,,0.0851486,,,,,,,,
,,,,0.0858057,,,,,,,,
,,,,0.0864435,,,,,,,,
,,,,0.0870737,,,,,,,,
,,,,0.0877079,,,,,,,,
,,,,0.0883376,,,,,,,,
,,,,0.0889594,,,,,,,,
,,,,0.0895711,,,,,,,,
,,,,0.0901697,,,,,,,,
,,,,0.0907556,,,,,,,,
,,,,0.0913308,,,,,,,,
,,,,0.0918967,,,,,,,,
,,,,0.0924552,,,,,,,,
,,,,0.0930076,,,,,,,,
,,,,0.0935554,,,,,,,,
,,,,0.0940997,,,,,,,,
,,,,0.0946422,,,,,,,,
,,,,0.0951798,,,,,,,,
,,,,0.0957135,,,,,,,,
,,,,0.0962443,,,,,,,,
,,,,0.0967731,,,,,,,,
,,,,0.0973014,,,,,,,,
,,,,0.0978308,,,,,,,,
,,,,0.0983638,,,,,,,,
,,,,0.0988955,,,,,,,,
,,,,0.0994219,,,,,,,,
,,,,0.0999477,,,,,,,,
,,,,0.100468,,,,,,,,
,,,,0.100984,,,,,,,,
,,,,0.101499,,,,,,,,
,,,,0.102009,,,,,,,,
,,,,0.102515,,,,,,,,
,,,,0.103016,,,,,,,,
,,,,0.103513,,,,,,,,
,,,,0.104005,,,,,,,,
,,,,0.104493,,,,,,,,
,,,,0.104977,,,,,,,,
,,,,0.105457,,,,,,,,
,,,,0.105933,,,,,,,,
,,,,0.106405,,,,,,,,
,,,,0.106874,,,,,,,,
,,,,0.107343,,,,,,,,
,,,,0.107813,,,,,,,,
,,,,0.108282,,,,,,,,
,,,,0.108749,,,,,,,,
,,,,0.109214,,,,,,,,
,,,,0.109678,,,,,,,,
,,,,0.110142,,,,,,,,
,,,,0.110604,,,,,,,,
,,,,0.111062,,,,,,,,
,,,,0.111519,,,,,,,,
,,,,0.111973,,,,,,,,
,,,,0.112423,,,,,,,,
,,,,0.11287,,,,,,,,
,,,,0.113314,,,,,,,,
,,,,0.113755,,,,,,,,
,,,,0.11419,,,,,,,,
,,,,0.114621,,,,,,,,
,,,,0.115049,,,,,,,,
,,,,0.115473,,,,,,,,
,,,,0.115895,,,,,,,,
,,,,0.116315,,,,,,,,
,,,,0.116734,,,,,,,,
,,,,0.11715,,,,,,,,
,,,,0.117566,,,,,,,,
,,,,0.117981,,,,,,,,
,,,,0.118395,,,,,,,,
,,,,0.118807,,,,,,,,
,,,,0.119219,,,,,,,,
,,,,0.119627,,,,,,,,
,,,,0.120026,,,,,,,,
,,,,0.120419,,,,,,,,
,,,,0.120806,,,,,,,,
,,,,0.121188,,,,,,,,
,,,,0.121564,,,,,,,,
,,,,0.121935,,,,,,,,
,,,,0.122301,,,,,,,,
,,,,0.122662,,,,,,,,
,,,,0.123022,,,,,,,,
,,,,0.123382,,,,,,,,
,,,,0.123738,,,,,,,,
,,,,0.124089,,,,,,,,
,,,,0.124438,,,,,,,,
,,,,0.124783,,,,,,,,
,,,,0.125126,,,,,,,,
,,,,0.125468,,,,,,,,
,,,,0.125809,,,,,,,,
,,,,0.126144,,,,,,,,
,,,,0.126479,,,,,,,,
,,,,0.126816,,,,,,,,
,,,,0.127151,,,,,,,,
,,,,0.12749,,,,,,,,
,,,,0.127832,,,,,,,,
,,,,0.128174,,,,,,,,
,,,,0.128517,,,,,,,,
,,,,0.128856,,,,,,,,
,,,,0.129179,,,,,,,,
,,,,0.129489,,,,,,,,
,,,,0.129792,,,,,,,,
,,,,0.13009,,,,,,,,
,,,,0.130385,,,,,,,,
,,,,0.130678,,,,,,,,
,,,,0.130971,,,,,,,,
,,,,0.131253,,,,,,,,
,,,,0.131537,,,,,,,,
,,,,0.131812,,,,,,,,
,,,,0.13209,,,,,,,,
,,,,0.132364,,,,,,,,
,,,,0.132642,,,,,,,,
,,,,0.132919,,,,,,,,
,,,,0.133203,,,,,,,,
,,,,0.133494,,,,,,,,
,,,,0.133785,,,,,,,,
,,,,0.134074,,,,,,,,
,,,,0.134357,,,,,,,,
,,,,0.134632,,,,,,,,
,,,,0.134902,,,,,,,,
,,,,0.135167,,,,,,,,
,,,,0.135426,,,,,,,,
,,,,0.13568,,,,,,,,
,,,,0.13593,,,,,,,,
,,,,0.136176,,,,,,,,
,,,,0.136421,,,,,,,,
,,,,0.136665,,,,,,,,
,,,,0.136907,,,,,,,,
,,,,0.137147,,,,,,,,
,,,,0.137385,,,,,,,,
,,,,0.137624,,,,,,,,
,,,,0.137862,,,,,,,,
,,,,0.1381,,,,,,,,
,,,,0.138336,,,,,,,,
,,,,0.138572,,,,,,,,
,,,,0.138805,,,,,,,,
,,,,0.139037,,,,,,,,
,,,,0.139268,,,,,,,,
,,,,0.139497,,,,,,,,
,,,,0.139724,,,,,,,,
,,,,0.139949,,,,,,,,
,,,,0.140173,,,,,,,,
,,,,0.140396,,,,,,,,
,,,,0.140617,,,,,,,,
,,,,0.140836,,,,,,,,
,,,,0.141055,,,,,,,,
,,,,0.141272,,,,,,,,
,,,,0.141488,,,,,,,,
,,,,0.141704,,,,,,,,
,,,,0.141918,,,,,,,,
,,,,0.142132,,,,,,,,
,,,,0.142345,,,,,,,,
,,,,0.142558,,,,,,,,
,,,,0.14277,,,,,,,,
,,,,0.142981,,,,,,,,
,,,,0.143193,,,,,,,,
,,,,0.143404,,,,,,,,
,,,,0.143614,,,,,,,,
,,,,0.143823,,,,,,,,
,,,,0.14403,,,,,,,,
,,,,0.144237,,,,,,,,
,,,,0.144442,,,,,,,,
,,,,0.144647,,,,,,,,
,,,,0.14485,,,,,,,,
,,,,0.145053,,,,,,,,
,,,,0.145255,,,,,,,,
,,,,0.145458,,,,,,,,
,,,,0.145659,,,,,,,,
,,,,0.14586,,,,,,,,
,,,,0.146061,,,,,,,,
,,,,0.146261,,,,,,,,
,,,,0.14646,,,,,,,,
,,,,0.14666,,,,,,,,
,,,,0.14686,,,,,,,,
,,,,0.147053,,,,,,,,
,,,,0.147241,,,,,,,,
,,,,0.147425,,,,,,,,
,,,,0.147606,,,,,,,,
,,,,0.147784,,,,,,,,
,,,,0.147962,,,,,,,,
,,,,0.148135,,,,,,,,
,,,,0.148304,,,,,,,,
,,,,0.148469,,,,,,,,
,,,,0.148633,,,,,,,,
,,,,0.148796,,,,,,,,
,,,,0.148957,,,,,,,,
,,,,0.149115,,,,,,,,
,,,,0.149272,,,,,,,,
,,,,0.149427,,,,,,,,
,,,,0.149579,,,,,,,,
,,,,0.149729,,,,,,,,
,,,,0.149874,,,,,,,,
,,,,0.150015,,,,,,,,
,,,,0.150152,,,,,,,,
,,,,0.150286,,,,,,,,
,,,,0.150416,,,,,,,,
,,,,0.150544,,,,,,,,
,,,,0.150669,,,,,,,,
,,,,0.15079,,,,,,,,
,,,,0.150909,,,,,,,,
,,,,0.151025,,,,,,,,
,,,,0.151139,,,,,,,,
,,,,0.15125,,,,,,,,
,,,,0.151358,,,,,,,,
,,,,0.151464,,,,,,,,
,,,,0.151566,,,,,,,,
,,,,0.151666,,,,,,,,
,,,,0.151763,,,,,,,,
,,,,0.151857,,,,,,,,
,,,,0.151949,,,,,,,,
,,,,0.152039,,,,,,,,
,,,,0.152127,,,,,,,,
,,,,0.152212,,,,,,,,
,,,,0.152295,,,,,,,,
,,,,0.152377,,,,,,,,
,,,,0.152456,,,,,,,,
,,,,0.152534,,,,,,,,
,,,,0.15261,,,,,,,,
,,,,0.152684,,,,,,,,
,,,,0.152757,,,,,,,,
,,,,0.152828,,,,,,,,
,,,,0.152897,,,,,,,,
,,,,0.152964,,,,,,,,
,,,,0.15303,,,,,,,,
,,,,0.153095,,,,,,,,
,,,,0.153159,,,,,,,,
,,,,0.153221,,,,,,,,
,,,,0.153283,,,,,,,,
,,,,0.153343,,,,,,,,
,,,,0.153403,,,,,,,,
,,,,0.153462,,,,,,,,
,,,,0.15352,,,,,,,,
,,,,0.153578,,,,,,,,
,,,,0.153635,,,,,,,,
,,,,0.153691,,,,,,,,
,,,,0.153747,,,,,,,,
,,,,0.153802,,,,,,,,
,,,,0.153857,,,,,,,,
,,,,0.153911,,,,,,,,
,,,,0.153966,,,,,,,,
,,,,0.15402,,,,,,,,
,,,,0.154074,,,,,,,,
,,,,0.154128,,,,,,,,
,,,,0.154183,,,,,,,,
,,,,0.154237,,,,,,,,
,,,,0.154292,,,,,,,,
,,,,0.154345,,,,,,,,
,,,,0.154398,,,,,,,,
,,,,0.154449,,,,,,,,
,,,,0.154499,,,,,,,,
,,,,0.154548,,,,,,,,
,,,,0.154596,,,,,,,,
,,,,0.154643,,,,,,,,
,,,,0.154689,,,,,,,,
,,,,0.154734,,,,,,,,
,,,,0.154779,,,,,,,,
,,,,0.154823,,,,,,,,
,,,,0.154866,,,,,,,,
,,,,0.154909,,,,,,,,
,,,,0.154952,,,,,,,,
,,,,0.154993,,,,,,,,
,,,,0.155035,,,,,,,,
,,,,0.155075,,,,,,,,
,,,,0.155116,,,,,,,,
,,,,0.155156,,,,,,,,
,,,,0.155195,,,,,,,,
,,,,0.155233,,,,,,,,
,,,,0.155272,,,,,,,,
,,,,0.155309,,,,,,,,
,,,,0.155346,,,,,,,,
,,,,0.155383,,,,,,,,
,,,,0.155419,,,,,,,,
,,,,0.155454,,,,,,,,
,,,,0.155489,,,,,,,,
,,,,0.155524,,,,,,,,
,,,,0.155558,,,,,,,,
,,,,0.155592,,,,,,,,
,,,,0.155626,,,,,,,,
,,,,0.155659,,,,,,,,
,,,,0.155692,,,,,,,,
,,,,0.155724,,,,,,,,
,,,,0.155756,,,,,,,,
,,,,0.155788,,,,,,,,
,,,,0.15582,,,,,,,,
,,,,0.155851,,,,,,,,
,,,,0.155882,,,,,,,,
,,,,0.155912,,,,,,,,
,,,,0.155943,,,,,,,,
,,,,0.155973,,,,,,,,
,,,,0.156002,,,,,,,,
,,,,0.156032,,,,,,,,
,,,,0.15606,,,,,,,,
,,,,0.156089,,,,,,,,
,,,,0.156117,,,,,,,,
,,,,0.156146,,,,,,,,
,,,,0.156174,,,,,,,,
,,,,0.156202,,,,,,,,
,,,,0.15623,,,,,,,,
,,,,0.156257,,,,,,,,
,,,,0.156285,,,,,,,,
,,,,0.156312,,,,,,,,
,,,,0.15634,,,,,,,,
,,,,0.156367,,,,,,,,
,,,,0.156395,,,,,,,,
,,,,0.156422,,,,,,,,
,,,,0.15645,,,,,,,,
,,,,0.156477,,,,,,,,
,,,,0.156504,,,,,,,,
,,,,0.156532,,,,,,,,
,,,,0.156559,,,,,,,,
,,,,0.156587,,,,,,,,
,,,,0.156614,,,,,,,,
,,,,0.156641,,,,,,,,
,,,,0.156668,,,,,,,,
,,,,0.156694,,,,,,,,
,,,,0.156721,,,,,,,,
,,,,0.156747,,,,,,,,
,,,,0.156773,,,,,,,,
,,,,0.156799,,,,,,,,
,,,,0.156824,,,,,,,,
,,,,0.15685,,,,,,,,
,,,,0.156875,,,,,,,,
,,,,0.1569,,,,,,,,
,,,,0.156925,,,,,,,,
,,,,0.156949,,,,,,,,
,,,,0.156973,,,,,,,,
,,,,0.156998,,,,,,,,
,,,,0.157022,,,,,,,,
,,,,0.157045,,,,,,,,
,,,,0.157069,,,,,,,,
,,,,0.157092,,,,,,,,
,,,,0.157115,,,,,,,,
,,,,0.157138,,,,,,,,
,,,,0.157161,,,,,,,,
,,,,0.157183,,,,,,,,
,,,,0.157205,,,,,,,,
,,,,0.157227,,,,,,,,
,,,,0.157249,,,,,,,,
,,,,0.157271,,,,,,,,
,,,,0.157292,,,,,,,,
,,,,0.157313,,,,,,,,
,,,,0.157334,,,,,,,,
,,,,0.157355,,,,,,,,
,,,,0.157375,,,,,,,,
,,,,0.157396,,,,,,,,
,,,,0.157416,,,,,,,,
,,,,0.157436,,,,,,,,
,,,,0.157456,,,,,,,,
,,,,0.157475,,,,,,,,
,,,,0.157495,,,,,,,,
,,,,0.157514,,,,,,,,
,,,,0.157534,,,,,,,,
,,,,0.157553,,,,,,,,
,,,,0.157572,,,,,,,,
,,,,0.157591,,,,,,,,
,,,,0.15761,,,,,,,,
,,,,0.157629,,,,,,,,
,,,,0.157648,,,,,,,,
,,,,0.157666,,,,,,,,
,,,,0.157685,,,,,,,,
,,,,0.157703,,,,,,,,
,,,,0.15772,,,,,,,,
,,,,0.157737,,,,,,,,
,,,,0.157754,,,,,,,,
,,,,0.157771,,,,,,,,
,,,,0.157788,,,,,,,,
,,,,0.157804,,,,,,,,
,,,,0.15782,,,,,,,,
,,,,0.157836,,,,,,,,
,,,,0.157851,,,,,,,,
,,,,0.157867,,,,,,,,
,,,,0.157882,,,,,,,,
,,,,0.157897,,,,,,,,
,,,,0.157912,,,,,,,,
,,,,0.157927,,,,,,,,
,,,,0.157942,,,,,,,,
,,,,0.157956,,,,,,,,
,,,,0.157971,,,,,,,,
,,,,0.157985,,,,,,,,
,,,,0.157999,,,,,,,,
,,,,0.158013,,,,,,,,
,,,,0.158026,,,,,,,,
,,,,0.15804,,,,,,,,
,,,,0.158053,,,,,,,,
,,,,0.158067,,,,,,,,
,,,,0.15808,,,,,,,,
,,,,0.158093,,,,,,,,
,,,,0.158106,,,,,,,,
,,,,0.158119,,,,,,,,
,,,,0.158132,,,,,,,,
,,,,0.158145,,,,,,,,
,,,,0.158158,,,,,,,,
,,,,0.15817,,,,,,,,
,,,,0.158183,,,,,,,,
,,,,0.158196,,,,,,,,
,,,,0.158208,,,,,,,,
,,,,0.15822,,,,,,,,
,,,,0.158233,,,,,,,,
,,,,0.158245,,,,,,,,
,,,,0.158257,,,,,,,,
,,,,0.158269,,,,,,,,
,,,,0.158282,,,,,,,,
,,,,0.158294,,,,,,,,
,,,,0.158306,,,,,,,,
,,,,0.158318,,,,,,,,
,,,,0.15833,,,,,,,,
,,,,0.158342,,,,,,,,
,,,,0.158354,,,,,,,,
,,,,0.158366,,,,,,,,
,,,,0.158378,,,,,,,,
,,,,0.15839,,,,,,,,
,,,,0.158402,,,,,,,,
,,,,0.158414,,,,,,,,
,,,,0.158426,,,,,,,,
,,,,0.158438,,,,,,,,
,,,,0.158449,,,,,,,,
,,,,0.158461,,,,,,,,
,,,,0.158473,,,,,,,,
,,,,0.158485,,,,,,,,
,,,,0.158496,,,,,,,,
,,,,0.158508,,,,,,,,
,,,,0.158519,,,,,,,,
,,,,0.158531,,,,,,,,
,,,,0.158542,,,,,,,,
,,,,0.158554,,,,,,,,
,,,,0.158565,,,,,,,,
,,,,0.158576,,,,,,,,
,,,,0.158587,,,,,,,,
,,,,0.158598,,,,,,,,
,,,,0.158609,,,,,,,,
,,,,0.15862,,,,,,,,
,,,,0.158631,,,,,,,,
,,,,0.158642,,,,,,,,
,,,,0.158652,,,,,,,,
,,,,0.158663,,,,,,,,
,,,,0.158674,,,,,,,,
,,,,0.158684,,,,,,,,
,,,,0.158695,,,,,,,,
,,,,0.158705,,,,,,,,
,,,,0.158716,,,,,,,,
,,,,0.158726,,,,,,,,
,,,,0.158736,,,,,,,,
,,,,0.158746,,,,,,,,
,,,,0.158757,,,,,,,,
,,,,0.158767,,,,,,,,
,,,,0.158777,,,,,,,,
,,,,0.158787,,,,,,,,
,,,,0.158797,,,,,,,,
,,,,0.158807,,,,,,,,
,,,,0.158817,,,,,,,,
,,,,0.158827,,,,,,,,
,,,,0.158837,,,,,,,,
,,,,0.158847,,,,,,,,
,,,,0.158857,,,,,,,,
,,,,0.158867,,,,,,,,
,,,,0.158877,,,,,,,,
,,,,0.158887,,,,,,,,
,,,,0.158897,,,,,,,,
,,,,0.158907,,,,,,,,
,,,,0.158917,,,,,,,,
,,,,0.158927,,,,,,,,
,,,,0.158936,,,,,,,,
,,,,0.158946,,,,,,,,
,,,,0.158955,,,,,,,,
,,,,0.158964,,,,,,,,
,,,,0.158973,,,,,,,,
,,,,0.158982,,,,,,,,
,,,,0.158991,,,,,,,,
,,,,0.159,,,,,,,,
,,,,0.159008,,,,,,,,
,,,,0.159017,,,,,,,,
,,,,0.159025,,,,,,,,
,,,,0.159034,,,,,,,,
,,,,0.159042,,,,,,,,
,,,,0.15905,,,,,,,,
,,,,0.159058,,,,,,,,
,,,,0.159066,,,,,,,,
,,,,0.159074,,,,,,,,
,,,,0.159082,,,,,,,,
,,,,0.15909,,,,,,,,
,,,,0.159098,,,,,,,,
,,,,0.159106,,,,,,,,
,,,,0.159113,,,,,,,,
,,,,0.159121,,,,,,,,
,,,,0.159129,,,,,,,,
,,,,0.159136,,,,,,,,
,,,,0.159144,,,,,,,,
,,,,0.159152,,,,,,,,
,,,,0.159159,,,,,,,,
,,,,0.159167,,,,,,,,
,,,,0.159174,,,,,,,,
,,,,0.159182,,,,,,,,
,,,,0.159189,,,,,,,,
,,,,0.159196,,,,,,,,
,,,,0.159204,,,,,,,,
,,,,0.159211,,,,,,,,
,,,,0.159218,,,,,,,,
,,,,0.159225,,,,,,,,
,,,,0.159232,,,,,,,,
,,,,0.159239,,,,,,,,
,,,,0.159246,,,,,,,,
,,,,0.159253,,,,,,,,
,,,,0.15926,,,,,,,,
,,,,0.159267,,,,,,,,
,,,,0.159273,,,,,,,,
,,,,0.15928,,,,,,,,
,,,,0.159287,,,,,,,,
,,,,0.159293,,,,,,,,
,,,,0.1593,,,,,,,,
,,,,0.159306,,,,,,,,
,,,,0.159313,,,,,,,,
,,,,0.159319,,,,,,,,
,,,,0.159326,,,,,,,,
,,,,0.159332,,,,,,,,
,,,,0.159338,,,,,,,,
,,,,0.159344,,,,,,,,
,,,,0.159351,,,,,,,,
,,,,0.159357,,,,,,,,
,,,,0.159363,,,,,,,,
,,,,0.15937,,,,,,,,
,,,,0.159376,,,,,,,,
,,,,0.159382,,,,,,,,
,,,,0.159388,,,,,,,,
,,,,0.159395,,,,,,,,
,,,,0.159401,,,,,,,,
,,,,0.159407,,,,,,,,
,,,,0.159413,,,,,,,,
,,,,0.159418,,,,,,,,
,,,,0.159424,,,,,,,,
,,,,0.15943,,,,,,,,
,,,,0.159436,,,,,,,,
,,,,0.159441,,,,,,,,
,,,,0.159447,,,,,,,,
,,,,0.00567457,,,,,,,,
,,,,0.0113315,,,,,,,,
,,,,0.0169836,,,,,,,,
,,,,0.02,,,,,,,,
